Feature,p_value_fdr_corrected_main,Effect_Size_Value_main,Effect_Size_Interpretation_main,significant_after_fdr_main,p_value_fdr_corrected_robust,Effect_Size_Value_robust,Effect_Size_Interpretation_robust,significant_after_fdr_robust,delta_effect,sig_flip,category_change
word_count_yaml,1.0684594222869264e-10,0.0485052009716105,negligible,True,5.404487240243402e-10,0.0641313821262316,negligible,True,0.015626181154621097,False,False
word_count_content,0.0,0.2921758200281975,small,True,4.3061032585028485e-223,0.3280352255755008,small,True,0.035859405547303325,False,False
has_video,3.5011964075898464e-64,0.0691375242784453,negligible,True,2.7250838803087305e-42,0.0557512763713895,negligible,True,-0.013386247907055802,False,False
num_code_blk,3.100475531647612e-270,0.251561307952431,small,True,2.1579795043035156e-175,0.277480060272229,small,True,0.02591875231979801,False,False
num_inline_code,5.028549853069528e-185,0.1797061186311219,small,True,1.3438998589323691e-145,0.2181133391980248,small,True,0.038407220566902905,False,False
num_static_img,4.6220579237897527e-11,0.0370538844875397,negligible,True,2.5408499831417803e-05,0.0325609597152147,negligible,True,-0.004492924772324998,False,False
num_animated_img,1.576949427065068e-11,0.0059420391356302,negligible,True,8.576403724334923e-07,0.0058235277683313,negligible,True,-0.00011851136729890046,False,False
num_lists,3.949325550565769e-163,0.1900278668956961,small,True,8.630368260653997e-119,0.2220293204613946,small,True,0.0320014535656985,False,False
num_table,4.8143626452673584e-76,0.1169445230067205,negligible,True,6.099715812307938e-56,0.1369330249547433,negligible,True,0.019988501948022805,False,False
num_github_links,1.160830121149417e-254,0.2269202416784119,small,True,7.98627978421737e-179,0.2602929186596407,small,True,0.03337267698122881,False,False
num_huggingface_links,9.745273456165125e-14,0.0537963953989463,negligible,True,1.7402356874245853e-08,0.0559173657237559,negligible,True,0.0021209703248095957,False,False
num_arxiv,0.0,0.2492896890475325,small,True,0.0,0.3038014707565596,small,True,0.054511781709027124,False,False
has_bibtex,2.4244263405612357e-304,0.1522129381378757,small,True,3.372575969750637e-235,0.1337863499602345,small,True,-0.0184265881776412,False,False
has_license,1.0076440055662484e-119,0.0950036781009718,negligible,True,1.2279567743553475e-75,0.0752248894788124,negligible,True,-0.0197787886221594,False,False
has_config,1.0920229032199557e-56,0.0648402316559512,negligible,True,1.2973168687053715e-40,0.0545752908697086,negligible,True,-0.010264940786242592,False,False
has_model_index_result,0.0036154305646986,0.0120329697805648,negligible,True,0.0003880058312921,0.0146064676281156,negligible,True,0.0025734978475507996,False,False
has_dataset,0.3037459438578821,0.0042768065836823,negligible,False,0.018747656681909,0.0096792581753415,negligible,True,0.0054024515916592,True,False
num_dataset,0.9118311682292536,-0.0006112917671128,negligible,False,0.0822317163342485,-0.0132947252968661,negligible,False,-0.0126834335297533,False,False
match_huggingface_dataset,0.0312474735854244,0.0088851160368763,negligible,True,0.0052084727649631,0.0115186613272694,negligible,True,0.0026335452903930995,False,False
model_size_bytes,1.667951635569208e-48,0.1099107875090002,negligible,True,5.166172899891978e-40,0.1364623094747306,negligible,True,0.026551521965730393,False,False
num_root_file,1.9743386321363547e-32,0.0889629701365799,negligible,True,5.8380828482864695e-30,0.1170847105725848,negligible,True,0.02812174043600489,False,False
num_modules,4.678440386295253e-87,0.1087682034564869,negligible,True,1.8131229068853477e-78,0.1408950848108142,negligible,True,0.0321268813543273,False,False
num_model_files,4.014398270306921e-35,0.0920646981566609,negligible,True,1.8338801632898672e-33,0.1230922005253516,negligible,True,0.031027502368690688,False,False
has_quantized,2.3925654546746065e-168,0.1129175745851405,small,True,1.3317968744199283e-117,0.0941869540326829,negligible,True,-0.018730620552457597,False,True
has_space,0.0312474735854244,0.0089343472277625,negligible,True,0.1595066915035291,0.0057325571373407,negligible,False,-0.0032017900904218006,True,False
has_safetensors,3.353108122843018e-63,0.0685767085770294,negligible,True,5.332392714751684e-62,0.0679434172789744,negligible,True,-0.0006332912980549915,False,False
has_widgetData,6.998591567507289e-32,0.0480360396337588,negligible,True,6.5549133526307955e-24,0.0412455592840761,negligible,True,-0.006790480349682701,False,False
has_pipeline_name,1.941910805585101e-128,0.0984606553285464,negligible,True,1.0091109377003466e-96,0.085286542917215,negligible,True,-0.013174112411331401,False,False
has_primary_implementation_library_name,1.772797038006571e-33,0.0493171274144858,negligible,True,4.124523043348287e-46,0.0583193821880172,negligible,True,0.0090022547735314,False,False
has_supported_additional_frameworks_Libraries,1.549303386358236e-13,0.0302712187416723,negligible,True,5.190777384107285e-25,0.0422640008138069,negligible,True,0.0119927820721346,False,False
if_supported_libraries,1.6040819692740287e-09,0.0247027035058025,negligible,True,1.42028136200968e-16,0.0338388916221419,negligible,True,0.009136188116339403,False,False
