Feature,p_value_fdr_corrected_main,Effect_Size_Value_main,Effect_Size_Interpretation_main,significant_after_fdr_main,p_value_fdr_corrected_robust,Effect_Size_Value_robust,Effect_Size_Interpretation_robust,significant_after_fdr_robust,delta_effect,sig_flip,category_change
word_count_yaml,1.0684594222869264e-10,0.0485052009716105,negligible,True,1.0205352634123741e-13,0.0470937322621544,negligible,True,-0.001411468709456097,False,False
word_count_content,0.0,0.2921758200281975,small,True,0.0,0.2753635058542346,small,True,-0.016812314173962895,False,False
has_video,3.5011964075898464e-64,0.0691375242784453,negligible,True,6.945704888496008e-70,0.0722126026437336,negligible,True,0.0030750783652882946,False,False
num_code_blk,3.100475531647612e-270,0.251561307952431,small,True,0.0,0.2363695034093436,small,True,-0.015191804543087384,False,False
num_inline_code,5.028549853069528e-185,0.1797061186311219,small,True,2.186039265492573e-219,0.1655064385882498,small,True,-0.014199680042872115,False,False
num_static_img,4.6220579237897527e-11,0.0370538844875397,negligible,True,1.867222012423352e-15,0.0377603244397646,negligible,True,0.0007064399522248993,False,False
num_animated_img,1.576949427065068e-11,0.0059420391356302,negligible,True,4.523678119137001e-18,0.0066563110834553,negligible,True,0.0007142719478250995,False,False
num_lists,3.949325550565769e-163,0.1900278668956961,small,True,3.9499779471930126e-227,0.1896205166720439,small,True,-0.0004073502236521809,False,False
num_table,4.8143626452673584e-76,0.1169445230067205,negligible,True,9.107765249134264e-90,0.1075019313119932,negligible,True,-0.00944259169472729,False,False
num_github_links,1.160830121149417e-254,0.2269202416784119,small,True,8.497621092890795e-305,0.2098160225674519,small,True,-0.017104219110959995,False,False
num_huggingface_links,9.745273456165125e-14,0.0537963953989463,negligible,True,1.6639997693319574e-19,0.0549669470167252,negligible,True,0.0011705516177788963,False,False
num_arxiv,0.0,0.2492896890475325,small,True,0.0,0.2157462182414878,small,True,-0.033543470806044695,False,False
has_bibtex,2.4244263405612357e-304,0.1522129381378757,small,True,0.0,0.1579141741307891,small,True,0.005701235992913389,False,False
has_license,1.0076440055662484e-119,0.0950036781009718,negligible,True,6.900911630625154e-139,0.1024148895048133,small,True,0.007411211403841503,False,True
has_config,1.0920229032199557e-56,0.0648402316559512,negligible,True,8.275459548043597e-70,0.0721554357008493,negligible,True,0.007315204044898105,False,False
has_model_index_result,0.0036154305646986,0.0120329697805648,negligible,True,0.0599861092726981,0.0077839589719688,negligible,False,-0.004249010808595999,True,False
has_dataset,0.3037459438578821,0.0042768065836823,negligible,False,0.4594910990281614,0.0030142807442661,negligible,False,-0.0012625258394161998,False,False
num_dataset,0.9118311682292536,-0.0006112917671128,negligible,False,0.0565264367399988,0.0090850809629274,negligible,False,0.0096963727300402,False,False
match_huggingface_dataset,0.0312474735854244,0.0088851160368763,negligible,True,0.4354052978715259,0.0032766307285329,negligible,False,-0.005608485308343401,True,False
model_size_bytes,1.667951635569208e-48,0.1099107875090002,negligible,True,9.127629052852789e-48,0.0919502989191086,negligible,True,-0.017960488589891604,False,False
num_root_file,1.9743386321363547e-32,0.0889629701365799,negligible,True,1.9285371985796868e-29,0.0713331691058258,negligible,True,-0.017629801030754108,False,False
num_modules,4.678440386295253e-87,0.1087682034564869,negligible,True,1.2827949263387599e-78,0.0872378507954441,negligible,True,-0.021530352661042793,False,False
num_model_files,4.014398270306921e-35,0.0920646981566609,negligible,True,2.756664019737593e-26,0.0665997649782372,negligible,True,-0.0254649331784237,False,False
has_quantized,2.3925654546746065e-168,0.1129175745851405,small,True,6.052409708230114e-201,0.1234335579124034,small,True,0.010515983327262904,False,False
has_space,0.0312474735854244,0.0089343472277625,negligible,True,0.0052391697563179,0.0115583982239555,negligible,True,0.002624050996192999,False,False
has_safetensors,3.353108122843018e-63,0.0685767085770294,negligible,True,9.341458369070692e-63,0.0683123127687941,negligible,True,-0.00026439580823529873,False,False
has_widgetData,6.998591567507289e-32,0.0480360396337588,negligible,True,5.434277744986308e-42,0.0555091575083299,negligible,True,0.007473117874571104,False,False
has_pipeline_name,1.941910805585101e-128,0.0984606553285464,negligible,True,1.0409915193100861e-156,0.108872309865476,small,True,0.01041165453692959,False,True
has_primary_implementation_library_name,1.772797038006571e-33,0.0493171274144858,negligible,True,6.162260894105255e-27,0.0439761862659931,negligible,True,-0.005340941148492699,False,False
has_supported_additional_frameworks_Libraries,1.549303386358236e-13,0.0302712187416723,negligible,True,6.641151178418232e-09,0.0237810780411319,negligible,True,-0.006490140700540398,False,False
if_supported_libraries,1.6040819692740287e-09,0.0247027035058025,negligible,True,2.1224680872896768e-06,0.0194663029777061,negligible,True,-0.005236400528096399,False,False
