Feature,p_value_fdr_corrected_main,Effect_Size_Value_main,Effect_Size_Interpretation_main,significant_after_fdr_main,p_value_fdr_corrected_robust,Effect_Size_Value_robust,Effect_Size_Interpretation_robust,significant_after_fdr_robust,delta_effect,sig_flip,category_change
word_count_yaml,2.423911993025345e-91,0.1517778466221609,small,True,4.786780591900977e-122,0.1482492011263139,small,True,-0.0035286454958469993,False,False
word_count_content,0.0,0.2956571350892114,small,True,0.0,0.2988589152066788,small,True,0.003201780117467412,False,False
has_video,7.885669452764634e-11,0.0266557245746403,negligible,True,5.459995668264381e-10,0.0254245442275571,negligible,True,-0.0012311803470832008,False,False
num_code_blk,0.0,0.282055704079214,small,True,0.0,0.2621093575701703,small,True,-0.0199463465090437,False,False
num_inline_code,2.566320693917457e-165,0.1700136877080271,small,True,4.621117334413777e-187,0.152670782933621,small,True,-0.017342904774406115,False,False
num_static_img,2.606581207264411e-15,-0.0445468909556352,negligible,True,1.9623919317138583e-10,-0.0300167871212636,negligible,True,0.014530103834371602,False,False
num_animated_img,0.4699874172595746,0.0006574629284725,negligible,False,0.2320866461548462,0.0009596336771378,negligible,False,0.00030217074866530004,False,False
num_lists,1.2880212279904192e-70,0.1244111990115004,negligible,True,4.1702994651236646e-81,0.1127041729126307,negligible,True,-0.0117070260988697,False,False
num_table,1.920677051310582e-180,0.1798098431755482,small,True,1.504704318324763e-284,0.1902172207155591,small,True,0.010407377540010893,False,False
num_github_links,0.0,0.2639469830857281,small,True,0.0,0.234803064950396,small,True,-0.029143918135332125,False,False
num_huggingface_links,4.452719973249402e-40,0.0951001909175009,negligible,True,1.915348667362323e-109,0.1342043280513931,negligible,True,0.0391041371338922,False,False
num_arxiv,0.0,0.2679253264821071,small,True,0.0,0.2202249078400457,small,True,-0.0477004186420614,False,False
has_bibtex,0.0,0.1830455091091399,small,True,0.0,0.1798347940308634,small,True,-0.0032107150782764993,False,False
has_license,5.255272001724827e-68,0.0711516090814577,negligible,True,1.644070423849594e-95,0.0846182330118448,negligible,True,0.013466623930387098,False,False
has_config,2.949705057148396e-176,0.1155254194340978,small,True,6.66586446991473e-201,0.1233905876145137,small,True,0.007865168180415896,False,False
has_model_index_result,3.669642572332375e-14,0.0310149407066265,negligible,True,6.628495444579514e-16,0.0331323507086803,negligible,True,0.0021174100020537982,False,False
has_dataset,0.0066951679031536,0.0112355070524563,negligible,True,4.3890711227640687e-10,0.0255892533113466,negligible,True,0.0143537462588903,False,False
num_dataset,0.0011058721731476,0.0182149727485708,negligible,True,1.679063767860392e-12,0.0330453665199129,negligible,True,0.014830393771342099,False,False
match_huggingface_dataset,5.8454814095638846e-09,0.0238676286730521,negligible,True,0.2406739144636251,0.0048611530446214,negligible,False,-0.019006475628430698,True,False
model_size_bytes,3.1355759909199977e-47,-0.1083506496132166,negligible,True,0.1353566418406169,-0.0098719179524116,negligible,False,0.098478731660805,True,False
num_root_file,2.1939845726349038e-41,0.1010182955530698,negligible,True,2.727270336374022e-138,0.1580335502247308,small,True,0.057015254671661006,False,True
num_modules,0.2311224152287985,0.0067656277680636,negligible,False,2.770620216030241e-06,-0.0221430422119602,negligible,True,-0.028908669980023803,True,False
num_model_files,0.0651596466132968,-0.0138905662493334,negligible,False,4.020588709502335e-12,0.0436527182943285,negligible,True,0.0575432845436619,True,False
has_quantized,9.009814071259479e-15,0.0317690508757863,negligible,True,0.8441261989972666,0.0008012368478768,negligible,False,-0.030967814027909497,True,False
has_space,0.0485069432178379,0.0082148777670971,negligible,True,0.1797285476516741,0.005693954573127,negligible,False,-0.0025209231939701,True,False
has_safetensors,2.3234619991541255e-152,0.1072918618435737,small,True,2.5036535220862134e-93,0.083617115603118,negligible,True,-0.023674746240455694,False,True
has_widgetData,1.3697986646278038e-75,0.0751325026750753,negligible,True,2.9803436441337487e-134,0.1006167572368743,small,True,0.025484254561798994,False,True
has_pipeline_name,7.206160646341646e-216,0.1280059455139335,small,True,1.2762160196607519e-273,0.1441824820779819,small,True,0.01617653656404841,False,False
has_primary_implementation_library_name,1.962413148145407e-152,0.1073314043559157,small,True,3.7576514284694756e-210,0.1262350725716897,small,True,0.018903668215773994,False,False
has_supported_additional_frameworks_Libraries,1.3330475816131069e-194,0.1214731832092155,small,True,1.1234583236347832e-281,0.1463166765967369,small,True,0.024843493387521384,False,False
if_supported_libraries,1.1962153862460014e-91,0.0829125467249252,negligible,True,3.9396909478706345e-139,0.1024761036694589,small,True,0.019563556944533697,False,True
