Feature,p_value_fdr_corrected_main,Effect_Size_Value_main,Effect_Size_Interpretation_main,significant_after_fdr_main,p_value_fdr_corrected_robust,Effect_Size_Value_robust,Effect_Size_Interpretation_robust,significant_after_fdr_robust,delta_effect,sig_flip,category_change
word_count_yaml,2.423911993025345e-91,0.1517778466221609,small,True,7.17252821585426e-183,0.1630869914411722,small,True,0.011309144819011296,False,False
word_count_content,0.0,0.2956571350892114,small,True,0.0,0.3031689545772831,small,True,0.007511819488071725,False,False
has_video,7.885669452764634e-11,0.0266557245746403,negligible,True,5.61229993186311e-10,0.0253578553634929,negligible,True,-0.0012978692111473983,False,False
num_code_blk,0.0,0.282055704079214,small,True,0.0,0.2467205579666672,small,True,-0.03533514611254679,False,False
num_inline_code,2.566320693917457e-165,0.1700136877080271,small,True,8.05737024044095e-195,0.140030018577643,negligible,True,-0.02998366913038411,False,True
num_static_img,2.606581207264411e-15,-0.0445468909556352,negligible,True,0.0385861659948226,-0.0087360120687656,negligible,True,0.0358108788868696,False,False
num_animated_img,0.4699874172595746,0.0006574629284725,negligible,False,0.4196565621272251,0.0005790122950671,negligible,False,-7.845063340539994e-05,False,False
num_lists,1.2880212279904192e-70,0.1244111990115004,negligible,True,4.7328218556781226e-80,0.1004773096204128,negligible,True,-0.023933889391087593,False,False
num_table,1.920677051310582e-180,0.1798098431755482,small,True,0.0,0.2044555739811722,small,True,0.02464573080562399,False,False
num_github_links,0.0,0.2639469830857281,small,True,0.0,0.2154780497286519,small,True,-0.04846893335707622,False,False
num_huggingface_links,4.452719973249402e-40,0.0951001909175009,negligible,True,3.0012681739921376e-229,0.1747964118355237,small,True,0.0796962209180228,False,True
num_arxiv,0.0,0.2679253264821071,small,True,0.0,0.1831418177379065,small,True,-0.0847835087442006,False,False
has_bibtex,0.0,0.1830455091091399,small,True,0.0,0.1705680616610176,small,True,-0.012477447448122292,False,False
has_license,5.255272001724827e-68,0.0711516090814577,negligible,True,3.35746905178912e-118,0.0942967317097967,negligible,True,0.023145122628338996,False,False
has_config,2.949705057148396e-176,0.1155254194340978,small,True,5.458469804942241e-134,0.100494970145847,small,True,-0.0150304492882508,False,False
has_model_index_result,3.669642572332375e-14,0.0310149407066265,negligible,True,8.543774572037911e-15,0.0317103734419425,negligible,True,0.0006954327353160018,False,False
has_dataset,0.0066951679031536,0.0112355070524563,negligible,True,9.106854774408356e-17,0.0340114170215951,negligible,True,0.0227759099691388,False,False
num_dataset,0.0011058721731476,0.0182149727485708,negligible,True,1.720005212350832e-20,0.0387956634892334,negligible,True,0.0205806907406626,False,False
match_huggingface_dataset,5.8454814095638846e-09,0.0238676286730521,negligible,True,0.0278471449995116,0.0091243477692868,negligible,True,-0.014743280903765298,False,False
model_size_bytes,3.1355759909199977e-47,-0.1083506496132166,negligible,True,1.5711420794314603e-16,0.0468404579107411,negligible,True,0.1551911075239577,False,False
num_root_file,2.1939845726349038e-41,0.1010182955530698,negligible,True,4.4568673748690245e-272,0.1993881672963643,small,True,0.09836987174329449,False,True
num_modules,0.2311224152287985,0.0067656277680636,negligible,False,4.64729679055423e-21,-0.0397564646989527,negligible,True,-0.0465220924670163,True,False
num_model_files,0.0651596466132968,-0.0138905662493334,negligible,False,7.423759761940833e-58,0.0899755016825162,negligible,True,0.10386606793184959,True,False
has_quantized,9.009814071259479e-15,0.0317690508757863,negligible,True,3.660206303471148e-45,0.0575811982768105,negligible,True,0.0258121474010242,False,False
has_space,0.0485069432178379,0.0082148777670971,negligible,True,0.8578226313246599,0.0007300376964175,negligible,False,-0.0074848400706796,True,False
has_safetensors,2.3234619991541255e-152,0.1072918618435737,small,True,1.6242671821158178e-48,0.0597695296827014,negligible,True,-0.0475223321608723,False,True
has_widgetData,1.3697986646278038e-75,0.0751325026750753,negligible,True,1.4110140379162169e-148,0.1059019788311444,small,True,0.030769476156069092,False,True
has_pipeline_name,7.206160646341646e-216,0.1280059455139335,small,True,2.099711282775598e-248,0.137324000772366,small,True,0.009318055258432517,False,False
has_primary_implementation_library_name,1.962413148145407e-152,0.1073314043559157,small,True,1.7582082460877395e-227,0.1313491985853054,small,True,0.024017794229389683,False,False
has_supported_additional_frameworks_Libraries,1.3330475816131069e-194,0.1214731832092155,small,True,0.0,0.1553785113964938,small,True,0.0339053281872783,False,False
if_supported_libraries,1.1962153862460014e-91,0.0829125467249252,negligible,True,8.163414593429919e-154,0.1077844466967294,small,True,0.024871899971804196,False,True
